Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
15340.031  0.100000    92          1.11
15471.615  0.200000    184         1.25
16988.159  0.300000    276         1.43
17327.103  0.400000    368         1.67
17332.223  0.500000    461         2.00
17581.055  0.550000    507         2.22
17592.319  0.600000    553         2.50
17596.415  0.650000    599         2.86
17601.535  0.700000    645         3.33
17606.655  0.750000    691         4.00
17722.367  0.775000    714         4.44
17739.775  0.800000    737         5.00
17751.039  0.825000    760         5.71
17758.207  0.850000    783         6.67
17764.351  0.875000    806         8.00
17766.399  0.887500    817         8.89
17767.423  0.900000    829         10.00
17769.471  0.912500    840         11.43
17770.495  0.925000    852         13.33
17770.495  0.937500    863         16.00
17771.519  0.943750    869         17.78
17772.543  0.950000    875         20.00
17773.567  0.956250    881         22.86
17775.615  0.962500    886         26.67
17786.879  0.968750    892         32.00
17818.623  0.971875    895         35.56
17819.647  0.975000    898         40.00
17824.767  0.978125    901         45.71
18428.927  0.981250    904         53.33
18428.927  0.984375    907         64.00
18428.927  0.985938    908         71.11
18429.951  0.987500    909         80.00
18429.951  0.989062    911         91.42
18429.951  0.990625    912         106.67
18430.975  0.992188    914         128.01
18430.975  0.992969    915         142.23
18430.975  0.993750    915         160.00
18431.999  0.994531    916         182.85
18431.999  0.995313    917         213.36
18431.999  0.996094    917         256.02
18433.023  0.996484    918         284.41
18433.023  0.996875    918         320.00
18433.023  0.997266    918         365.76
18433.023  0.997656    919         426.62
18433.023  0.998047    919         512.03
18433.023  0.998242    919         568.83
18433.023  0.998437    920         639.80
18433.023  0.998633    920         731.53
18433.023  0.998828    920         853.24
18433.023  0.999023    920         1023.54
18433.023  0.999121    920         1137.66
18433.023  0.999219    920         1280.41
18433.023  0.999316    920         1461.99
18433.023  0.999414    920         1706.48
18433.023  0.999512    921         2049.18
18433.023  0.999561    921         2277.90
18433.023  0.999609    921         2557.54
18433.023  0.999658    921         2923.98
18433.023  0.999707    921         3412.97
18433.023  0.999756    921         4098.36
18433.023  0.999780    921         4545.45
18433.023  0.999805    921         5128.21
18433.023  0.999829    921         5847.95
18433.023  0.999854    921         6849.32
18433.023  0.999878    921         8196.72
18433.023  0.999890    921         9090.91
18433.023  0.999902    921         10204.08
18433.023  0.999915    921         11764.71
18433.023  0.999927    921         13698.63
18433.023  0.999939    921         16393.44
18433.023  0.999945    921         18181.82
18433.023  0.999951    921         20408.16
18433.023  0.999957    921         23255.81
18433.023  0.999963    921         27027.03
18433.023  0.999969    921         32258.06
18433.023  0.999973    921         37037.04
18433.023  0.999976    921         41666.67
18433.023  0.999979    921         47619.05
18433.023  0.999982    921         55555.56
18433.023  0.999985    921         66666.67
18433.023  0.999986    921         71428.57
18433.023  0.999988    921         83333.33
18433.023  0.999989    921         90909.09
18433.023  0.999991    921         111111.11
18433.023  0.999992    921         125000.00
18433.023  0.999993    921         142857.14
18433.023  0.999994    921         166666.67
18433.023  0.999995    921         200000.00
18433.023  0.999996    921         250000.00
18433.023  0.999997    921         333333.33
18433.023  0.999998    921         500000.00
18433.023  0.999999    921         1000000.00
18433.023  1.000000    921         10000000.00
